,repos/germanviscuso/ASKVideoSeries/04,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/04,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/04,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/germanviscuso/ASKVideoSeries/05,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/05,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/05,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/germanviscuso/ASKVideoSeries/05_intent_chaining,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/05_intent_chaining,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/05_intent_chaining,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/germanviscuso/ASKVideoSeries/06,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/06,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/06,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/germanviscuso/ASKVideoSeries/07,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/07,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/07,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/germanviscuso/ASKVideoSeries/08,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/08,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/08,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/germanviscuso/ASKVideoSeries/09,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/09,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/09,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/germanviscuso/ASKVideoSeries/10,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/10,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/10,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/grosa1/alexa-unit-test,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/grosa1/alexa-unit-test,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/grosa1/alexa-unit-test,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/GRy82/VoiceAppRepo,CollectPlayerMobileNumberIntent,1,mobileNumber,AMAZON.PhoneNumber
,repos/gurbaaz19/Alexa-Salon-Appointment,CustomerAuthenticationIntent,1,Name,AMAZON.FirstName
,repos/Hasi57/zerohero3,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/Hasi57/zerohero3,RegisterBirthdayIntent,1,month,MonthType
,repos/Hasi57/zerohero3,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/hoquesumya/Alexa-Covid-19-CBT-Assistance,NameIntent,1,name,AMAZON.FirstName
,repos/idiosyncrati/KA1901,ExisistingUser,1,user,AMAZON.US_FIRST_NAME
,repos/inobtsp/crowdsoucing_platform,SignInIntent,1,workername,AMAZON.FirstName
,repos/inobtsp/crowdsoucing_project,SignInIntent,1,workername,AMAZON.FirstName
,repos/Ioana-Nadia/BachelorDegree,RegisterNameIntent,1,name,AMAZON.DE_FIRST_NAME
,repos/jeffblankenburg/ScavengerHunt/.legacy,PhoneNumberIntent,1,phoneNumber,AMAZON.PhoneNumber
